Month,Daily_Min_C,Daily_Max_C,Rainfall_mm,Rainy_Days,Hail,Thunder,Fog,Squall
Jan,-1.9,7.1,63.6,5.4,0.0,0.1,1.1,0
Feb,0.7,10.5,85.0,6.0,0.0,0.5,0.5,0
Mar,4.3,15.5,104.6,7.2,0.1,1.6,0.0,0
Apr,7.9,20.6,91.8,7.0,0.3,4.3,0.1,0
May,11.2,24.7,63.5,5.9,0.3,8.4,0.1,0
Jun,15.0,28.5,46.4,4.1,0.2,6.7,0.1,0
Jul,18.4,30.0,64.0,5.0,0.0,6.6,0.1,0
Aug,17.8,29.7,64.5,5.4,0.2,4.8,0.2,0
Sep,13.1,27.6,37.4,3.1,0.1,3.0,0.2,0
Oct,6.2,23.0,21.8,2.0,0.0,1.7,0.2,0
Nov,1.2,15.9,27.7,2.2,0.0,0.5,1.1,0
Dec,-1.6,9.9,27.2,2.6,0.0,0.1,1.5,0
Annual,7.6,20.2,697.5,55.9,1.2,38.3,5.2,0
